ranking_type,rank,model_id,combo_score,relative_efficiency_score,scope_efficiency_index,cost_adjusted_scope_score,scored_tokens_per_1k,estimated_run_cost_usd
token,1,google/gemini-3.1-flash-lite,86.800896,100.0,29.900412,,2.903,
token,2,google/gemma-4-31b-it,84.943652,88.666845,26.511752,,3.204,
token,3,meta-llama/llama-4-maverick,83.87592,71.890725,21.495623,,3.902,
token,4,meta-llama/llama-4-scout,70.08302,65.839367,19.686242,,3.56,
token,5,anthropic/claude-opus-4.7,87.767738,52.388639,15.664419,,5.603,
token,6,anthropic/claude-opus-4.8,88.369775,21.561756,6.447054,,13.707,
token,7,openai/gpt-5.4-mini,83.286479,14.404089,4.306882,,19.338,
token,8,minimax/minimax-m3,93.412353,14.336726,4.28674,,21.791,
token,9,openai/gpt-5.5,86.383683,13.84306,4.139132,,20.87,
token,10,deepseek/deepseek-v4-flash,82.880411,10.711759,3.20286,,25.877,
token,11,qwen/qwen3.7-max,43.44173,10.627466,3.177656,,13.671,
token,12,moonshotai/kimi-k2.7-code,80.94331,10.288842,3.076406,,26.311,
token,13,mistralai/mistral-small-2603,78.665643,9.904833,2.961586,,26.562,
token,14,deepseek/deepseek-v4-pro,79.84131,8.983752,2.686179,,29.723,
token,15,nvidia/nemotron-3-ultra-550b-a55b,80.567083,8.818571,2.636789,,30.555,
token,16,qwen/qwen3.7-plus,82.349305,7.956894,2.379144,,34.613,
token,17,google/gemini-3.5-flash,84.912149,7.686232,2.298215,,36.947,
token,18,z-ai/glm-5.2,76.083036,6.822026,2.039814,,37.299,
token,19,minimax/minimax-m2.7,74.008441,5.987336,1.790238,,41.34,
token,20,x-ai/grok-4.3,79.509148,5.904327,1.765418,,45.037,
token,21,xiaomi/mimo-v2.5-pro,74.3935,5.54797,1.658866,,44.846,
token,22,openai/gpt-oss-120b,67.96538,5.148491,1.53942,,44.15,
token,23,qwen/qwen3.6-flash,87.165049,4.63006,1.384407,,62.962,
token,24,mistralai/mistral-medium-3-5,66.888015,4.135749,1.236606,,54.09,
token,25,x-ai/grok-build-0.1,83.022088,3.733119,1.116218,,74.378,
token,26,moonshotai/kimi-k2.6,64.077328,3.724537,1.113652,,57.538,
token,27,tencent/hy3-preview,50.257419,2.700862,0.807569,,62.233,
token,28,x-ai/grok-4.20-multi-agent,81.128124,0.283785,0.084853,,956.106,
cost,1,deepseek/deepseek-v4-flash,82.880411,100.0,,24619.308022,,0.0033664801
cost,2,google/gemma-4-31b-it,84.943652,91.610159,,22553.787164,,0.00376627
cost,3,meta-llama/llama-4-scout,70.08302,66.850677,,16458.1741,,0.00425825
cost,4,google/gemini-3.1-flash-lite,86.800896,58.99313,,14523.700455,,0.0059765
cost,5,meta-llama/llama-4-maverick,83.87592,58.710175,,14454.038875,,0.00580294
cost,6,mistralai/mistral-small-2603,78.665643,36.423562,,8967.228822,,0.00877257
cost,7,tencent/hy3-preview,50.257419,23.497292,,5784.87078,,0.008687734
cost,8,minimax/minimax-m3,93.412353,21.352458,,5256.82752,,0.01776972
cost,9,openai/gpt-oss-120b,67.96538,14.311023,,3523.274792,,0.0192904
cost,10,qwen/qwen3.7-plus,82.349305,13.024366,,3206.508884,,0.02568192
cost,11,qwen/qwen3.6-flash,87.165049,9.259473,,2279.618209,,0.0382366875
cost,12,minimax/minimax-m2.7,74.008441,6.857121,,1688.175705,,0.0438393
cost,13,nvidia/nemotron-3-ultra-550b-a55b,80.567083,6.723805,,1655.354221,,0.0486706
cost,14,openai/gpt-5.4-mini,83.286479,6.25929,,1540.993839,,0.05404725
cost,15,qwen/qwen3.7-max,43.44173,5.757765,,1417.521879,,0.03064625
cost,16,deepseek/deepseek-v4-pro,79.84131,5.369532,,1321.941647,,0.060397
cost,17,moonshotai/kimi-k2.7-code,80.94331,4.8496,,1193.937956,,0.06779524
cost,18,x-ai/grok-4.3,79.509148,4.836801,,1190.78703,,0.06677025
cost,19,xiaomi/mimo-v2.5-pro,74.3935,4.052119,,997.603664,,0.0745722
cost,20,x-ai/grok-build-0.1,83.022088,4.041673,,995.032017,,0.0834366
cost,21,moonshotai/kimi-k2.6,64.077328,2.421898,,596.25453,,0.1074664
cost,22,z-ai/glm-5.2,76.083036,2.402771,,591.545527,,0.12861738
cost,23,anthropic/claude-opus-4.7,87.767738,1.92838,,474.753814,,0.18487
cost,24,google/gemini-3.5-flash,84.912149,1.799394,,442.998334,,0.191676
cost,25,mistralai/mistral-medium-3-5,66.888015,1.337969,,329.398629,,0.203061
cost,26,anthropic/claude-opus-4.8,88.369775,1.037353,,255.389213,,0.34602
cost,27,openai/gpt-5.5,86.383683,0.911146,,224.317851,,0.385095
cost,28,x-ai/grok-4.20-multi-agent,81.128124,0.170491,,41.973626,,1.9328357
