rank,model_id,provider,model,combo_score,sophistication_score,objective_inference_score,correlation_score,item_count,invocation_count,pass_count,failure_count,pass_rate,total_scored_tokens,total_tokens,total_estimated_cost_usd,total_duration_ms
1,minimax/minimax-m3,minimax,minimax-m3,93.412353,96.527778,88.524096,95.185185,21,21,18,3,0.8571428571428571,21791,21604,0.01776972,181225
2,anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,88.369775,76.944444,90.572289,97.592593,21,21,17,4,0.8095238095238095,13707,21644,0.34602,174561
3,anthropic/claude-opus-4.7,anthropic,claude-opus-4.7,87.767738,79.444444,87.46988,96.388889,21,21,16,5,0.7619047619047619,5603,15282,0.18487,94557
4,qwen/qwen3.6-flash,qwen,qwen3.6-flash,87.165049,85.347222,79.759036,96.388889,21,21,15,6,0.7142857142857143,62962,39494,0.03823669,225813
5,google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,86.800896,82.430556,81.325301,96.646831,21,21,15,6,0.7142857142857143,2903,9391,0.0059765,36287
6,openai/gpt-5.5,openai,gpt-5.5,86.383683,84.861111,88.13253,86.157407,21,21,17,4,0.8095238095238095,20870,17844,0.385095,219718
7,google/gemma-4-31b-it,google,gemma-4-31b-it,84.943652,77.430556,81.355422,96.044979,21,21,14,7,0.6666666666666666,3204,13526,0.00376627,88255
8,google/gemini-3.5-flash,google,gemini-3.5-flash,84.912149,77.986111,80.361446,96.388889,21,21,15,6,0.7142857142857143,36947,26704,0.191676,110366
9,meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,83.87592,76.319444,82.981928,92.326389,21,21,14,7,0.6666666666666666,3902,10008,0.00580294,48878
10,openai/gpt-5.4-mini,openai,gpt-5.4-mini,83.286479,78.611111,85.692771,85.555556,21,21,16,5,0.7619047619047619,19338,17018,0.05404725,126173
11,x-ai/grok-build-0.1,x-ai,grok-build-0.1,83.022088,76.111111,76.566265,96.388889,21,21,14,7,0.6666666666666666,74378,46595,0.0834366,287940
12,deepseek/deepseek-v4-flash,deepseek,deepseek-v4-flash,82.880411,69.722222,82.53012,96.388889,21,21,14,7,0.6666666666666666,25877,20205,0.00336648,163716
13,qwen/qwen3.7-plus,qwen,qwen3.7-plus,82.349305,82.847222,79.246988,84.953704,21,21,14,7,0.6666666666666666,34613,24582,0.02568192,433512
14,x-ai/grok-4.20-multi-agent,x-ai,grok-4.20-multi-agent,81.128124,74.375,72.620482,96.388889,21,21,12,9,0.5714285714285714,956106,1793488,1.9328357,290400
15,moonshotai/kimi-k2.7-code,moonshotai,kimi-k2.7-code,80.94331,72.430556,86.325301,84.074074,21,21,14,7,0.6666666666666666,26311,20343,0.06779524,241295
16,nvidia/nemotron-3-ultra-550b-a55b,nvidia,nemotron-3-ultra-550b-a55b,80.567083,70.277778,87.349398,84.074074,21,21,14,7,0.6666666666666666,30555,21961,0.0486706,297142
17,deepseek/deepseek-v4-pro,deepseek,deepseek-v4-pro,79.84131,64.791667,78.343373,96.388889,21,21,13,8,0.6190476190476191,29723,22283,0.060397,268633
18,x-ai/grok-4.3,x-ai,grok-4.3,79.509148,70.0,72.138554,96.388889,21,21,13,8,0.6190476190476191,45037,31700,0.06677025,216390
19,mistralai/mistral-small-2603,mistralai,mistral-small-2603,78.665643,70.277778,70.963855,94.755294,21,21,12,9,0.5714285714285714,26562,19644,0.00877257,88817
20,z-ai/glm-5.2,z-ai,glm-5.2,76.083036,83.888889,84.036145,60.324074,21,21,14,7,0.6666666666666666,37299,24063,0.12861738,110142
21,xiaomi/mimo-v2.5-pro,xiaomi,mimo-v2.5-pro,74.3935,62.5,87.439759,73.240741,21,21,12,9,0.5714285714285714,44846,29755,0.0745722,471408
22,minimax/minimax-m2.7,minimax,minimax-m2.7,74.008441,83.888889,89.849398,48.287037,21,21,14,7,0.6666666666666666,41340,26160,0.0438393,80256
23,meta-llama/llama-4-scout,meta-llama,llama-4-scout,70.08302,46.041667,74.337349,89.870044,21,21,8,13,0.38095238095238093,3560,10625,0.00425825,34295
24,openai/gpt-oss-120b,openai,gpt-oss-120b,67.96538,54.444444,75.331325,74.12037,21,21,9,12,0.42857142857142855,44150,30783,0.0192904,47644
25,mistralai/mistral-medium-3-5,mistralai,mistral-medium-3-5,66.888015,64.791667,74.668675,61.203704,21,21,11,10,0.5238095238095238,54090,32210,0.203061,307643
26,moonshotai/kimi-k2.6,moonshotai,kimi-k2.6,64.077328,76.319444,73.042169,42.87037,21,21,10,11,0.47619047619047616,57538,35518,0.1074664,157149
27,tencent/hy3-preview,tencent,hy3-preview,50.257419,66.875,59.036145,24.861111,21,21,5,16,0.23809523809523808,62233,37995,0.00868773,281993
28,qwen/qwen3.7-max,qwen,qwen3.7-max,43.44173,75.694444,28.704819,25.925926,21,21,7,14,0.3333333333333333,13671,9759,0.03064625,223889
